Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014 Step",2015 Decile,"2015  Step",Decile Change,Step Change,"July 2014 Funding roll Years 9+","July 2014 Funding roll Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
1995,Tauwhare School,7,O,9,Q,2,2,0,166,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
257,Tawa College,9,Q,8,P,-1,-1,1459,1459,Secondary (Year 9-15),State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
3034,Tawa Intermediate,8,P,8,P,0,0,0,475,Intermediate,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
3035,Tawa School,8,P,7,O,-1,-1,0,336,Full Primary,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Hauauru
1996,Tawera Bilingual School,3,G,2,F,-1,-1,0,34,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3036,Tawhai School,6,N,5,M,-1,-1,0,322,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2465,Tawhero School,1,B,1,B,0,0,0,151,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2248,Tawhiti School,4,J,6,N,2,4,0,260,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
6940,Te Akau ki Papamoa Primary School,4,L,5,M,1,1,0,526,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1998,Te Akau School,8,P,6,N,-2,-2,0,33,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
4026,Te Anau School,8,P,9,Q,1,1,0,189,Contributing,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3037,Te Aro School,6,N,10,Z,4,4,0,213,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
116,Te Aroha College,4,L,4,K,0,-1,320,320,Secondary (Year 9-15),State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1999,Te Aroha Primary School,3,I,3,G,0,-2,0,183,Full Primary,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1530,Te Atatu Intermediate,5,M,6,N,1,1,0,322,Intermediate,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
232,Te Aute College,3,H,3,G,0,-1,49,49,Secondary (Year 9-15),State: Integrated,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2691,Te Awa School,1,B,1,C,0,1,0,139,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
146,Te Awamutu College,6,N,5,M,-1,-1,1112,1112,Secondary (Year 9-15),State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2001,Te Awamutu Intermediate,5,M,5,M,0,0,0,440,Intermediate,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2002,Te Awamutu Primary School,5,M,5,M,0,0,0,445,Contributing,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2692,Te Hapara School,3,G,2,F,-1,-1,0,343,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1109,Te Hapua School,1,C,1,C,0,0,0,25,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1532,Te Hihi School,9,Q,7,O,-2,-2,0,190,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3038,Te Horo School (Otaki),9,Q,9,Q,0,0,0,220,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
1110,Te Horo School (Whangarei),2,D,2,E,0,1,0,23,Full Primary,State,Whangarei District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1177,Te Huruhi School,6,N,7,O,1,1,0,411,Contributing,State,Auckland- Waiheke,Auckland Region,Auckland South,Auckland Central,Hauraki-Waikato
1,Te Kao School,2,D,2,D,0,0,0,32,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
624,Te Karaka Area School,1,C,2,E,1,2,71,171,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
115,Te Kauwhata College,5,M,4,J,-1,-3,324,434,Secondary (Year 7-15),State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
2005,Te Kauwhata Primary School,5,M,5,M,0,0,0,255,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
4228,Te KKM o Puau Te Moananui-a-Kiwa,2,F,2,D,0,-2,24,133,Composite (Year 1-15),State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1533,Te Kohanga School,3,H,3,I,0,1,0,28,Contributing,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
1111,Te Kopuru School,2,E,2,F,0,1,0,139,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2007,Te Kowhai School,10,Z,10,Z,0,0,0,336,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
160,Te Kuiti High School,3,G,2,F,-1,-1,294,294,Secondary (Year 9-15),State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2008,Te Kuiti Primary School,2,F,3,G,1,1,0,346,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1619,Te Kura Akonga O Manurewa,2,D,2,E,0,1,0,69,Full Primary,State: Integrated,Auckland- Manurewa,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3118,Te Kura Kaupapa Maori o Taumarunui,2,D,1,B,-1,-2,0,40,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
2739,Te Kura Kaupapa Maori o Whatatutu,1,B,1,B,0,0,0,33,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1806,Te Kura Mana Maori Maraenui,1,C,1,C,0,0,0,47,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1809,Te Kura Mana Maori o Matahi,1,A,1,C,0,2,0,32,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2084,Te Kura Mana Maori o Whangaparaoa,1,B,2,E,1,3,9,46,Composite (Year 1-15),State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
630,Te Kura Maori o Nga Tapuwae,1,C,2,E,1,2,101,270,Composite (Year 1-15),State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1634,Te Kura Maori o Porirua,3,H,3,I,0,1,56,238,Composite (Year 1-15),State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
2062,Te Kura Maori-a-Rohe o Waiohau,1,A,2,D,1,3,8,33,Composite (Year 1-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1102,Te Kura o Hata Maria (Pawarenga),1,B,1,A,0,-1,0,35,Full Primary,State: Integrated,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1100,Te Kura o Hato Hohepa Te Kamura,1,C,1,A,0,-2,0,18,Full Primary,State: Integrated,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
497,Te Kura o Hirangi,2,D,1,A,-1,-3,35,148,Composite (Year 1-15),State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
2384,Te Kura o Kokohuia,1,C,1,B,0,-1,19,55,Composite (Year 1-15),State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1815,Te Kura o Matapihi,2,F,3,G,1,1,0,109,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
589,Te Kura o Nga Ruahine Rangi,3,H,2,E,-1,-3,5,20,Composite (Year 1-15),State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
1859,Te Kura o Omaio,2,D,1,A,-1,-3,0,22,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1069,Te Kura o Otangarei,1,A,1,A,0,0,0,84,Full Primary,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
2637,Te Kura o Pakipaki,1,B,1,B,0,0,0,47,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2436,Te Kura o Ratana,1,B,3,G,2,5,0,28,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1971,Te Kura o Tahaaroa,3,H,5,M,2,5,0,32,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1811,Te Kura o Te Moutere O Matakana,3,H,2,F,-1,-2,0,31,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1888,Te Kura o Te Paroa,2,E,2,E,0,0,0,249,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2023,Te Kura o Te Teko,1,B,2,D,1,2,0,156,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2081,Te Kura o Te Whakarewarewa,2,D,2,D,0,0,0,67,Full Primary,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1645,Te Kura o Torere,1,A,2,D,1,3,0,28,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2047,Te Kura o Waharoa,1,A,1,C,0,2,0,51,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1666,Te Kura o Waikare,1,C,1,A,0,-2,0,51,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1678,Te Kura o Waikaremoana,2,F,1,B,-1,-4,0,32,Full Primary,State,Wairoa District,Hawkes Bay Region,Napier,Napier,Waiariki
2068,Te Kura o Waitahanui,2,D,3,G,1,3,0,22,Contributing,State,Taupo District,Waikato Region,Rotorua,Taupo,Waiariki
10,Te Kura Taumata o Panguru,2,D,1,C,-1,-1,19,49,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
545,Te Kura Toitu o Te Whaiti-nui-a-Toi,1,A,1,B,0,1,7,34,Composite (Year 1-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3101,Te Kura-a-iwi o Whakatupuranga Rua Mano,3,G,3,H,0,1,43,145,Composite (Year 1-15),State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
1676,Te Mahia School,1,C,1,B,0,-1,0,54,Full Primary,State,Wairoa District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2009,Te Mahoe School,1,A,2,D,1,3,0,39,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2697,Te Mata School (Havelock North),10,Z,10,Z,0,0,0,580,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2010,Te Mata School (Raglan),5,M,6,N,1,1,0,81,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
6741,Te Matauranga,1,B,1,B,0,0,0,466,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
2012,Te Miro School,10,Z,10,Z,0,0,0,36,Full Primary,State,Waipa District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
3553,Te One School,6,N,7,O,1,1,0,59,Full Primary,State,Chatham Islands Territory,Chatham Is. County,Christchurch,Rongotai,Te Tai Tonga
2013,Te Pahu School,9,Q,10,Z,1,1,0,114,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
1534,Te Papapa School,2,E,2,D,0,-1,0,257,Contributing,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
4145,Te Pi'ipi'inga Kakano Mai Rangiatea,2,F,4,J,2,4,4,68,Composite (Year 1-15),State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2698,Te Pohue School,4,J,2,D,-2,-6,0,37,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2014,Te Poi School,5,M,7,O,2,2,0,51,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
123,Te Puke High School,5,M,3,I,-2,-4,858,858,Secondary (Year 9-15),State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
2015,Te Puke Intermediate,4,L,3,H,-1,-4,0,297,Intermediate,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
2016,Te Puke Primary School,3,I,2,F,-1,-3,0,299,Contributing,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
2017,Te Puna School,8,P,7,O,-1,-1,0,207,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1912,Te Puru School,6,N,4,K,-2,-3,0,186,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1613,Te Ra School,9,Q,8,P,-1,-1,0,157,Full Primary,State: Integrated,Kapiti Coast District,Wellington Region,Wellington,Mana,Te Tai Hauauru
2019,Te Ranga School,5,M,5,M,0,0,0,102,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1147,Te Rangi Aniwaniwa,1,B,2,E,1,3,61,122,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2020,Te Rapa School,8,P,7,O,-1,-1,0,540,Full Primary,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2021,Te Rerenga School,5,M,7,O,2,2,0,61,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
4027,Te Tipua School,8,P,5,M,-3,-3,0,50,Full Primary,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
577,Te Totara Primary School,10,Z,10,Z,0,0,0,733,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2024,Te Uku School,5,M,5,M,0,0,0,154,Full Primary,State,Waikato District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
550,Te Waha O Rerekohu Area School,1,B,1,B,0,0,33,87,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
559,Te Wainui a Rua,2,F,5,M,3,7,0,24,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2025,Te Waotu School,8,P,7,O,-1,-1,0,122,Full Primary,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
147,Te Whanau-A-Apanui Area School,1,C,1,B,0,-1,49,89,Composite (Year 1-15),State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2701,Te Wharau School (Gisborne),1,C,2,D,1,1,0,434,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
4217,Te Wharekura o Arowhenua,2,E,2,F,0,1,31,130,Composite (Year 1-15),State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1798,Te Wharekura o Manaia,2,D,2,F,0,2,35,110,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1865,Te Wharekura o Maniapoto,2,F,3,G,1,1,31,80,Composite (Year 1-15),State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
3113,Te Wharekura o Manurewa,1,C,2,D,1,1,22,22,Secondary (Year 9-15),State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
6962,Te Wharekura o Mauao,2,D,3,H,1,4,129,163,Secondary (Year 7-15),State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
641,Te Wharekura o Nga Purapura o Te Aroha,4,K,3,I,-1,-2,2,34,Composite (Year 1-15),State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
1917,Te Wharekura o Rakaumangamanga,1,C,1,C,0,0,107,350,Composite (Year 1-15),State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
221,Te Wharekura o Ruatoki,1,C,2,D,1,1,39,154,Composite (Year 1-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
567,Te Wharekura o Te Kaokaoroa o Patetere,1,B,2,E,1,3,41,213,Composite (Year 1-15),State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
3115,Te Wharekura o Te Rau Aroha,1,A,2,D,1,3,36,116,Composite (Year 1-15),State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
651,Te Whata Tau o Putauaki,1,B,1,C,0,1,0,97,Full Primary,State,Kawerau District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3555,Templeton School,7,O,8,P,1,1,0,345,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
2109,Temuka Primary School,5,M,5,M,0,0,0,238,Contributing,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2466,Terrace End School,4,J,3,H,-1,-2,0,112,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
111,Thames High School,6,N,5,M,-1,-1,548,548,Secondary (Year 9-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2027,Thames South School,3,I,2,F,-1,-3,0,192,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
394,The Catlins Area School,6,N,7,O,1,1,67,153,Composite (Year 1-15),State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
6947,The Gardens School,10,Z,8,P,-2,-2,0,585,Full Primary,State,Auckland- Manurewa,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3844,The Terrace School (Alexandra),8,P,8,P,0,0,0,368,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2702,The Terrace School (Waipukurau),2,E,3,H,1,3,0,226,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
4028,Thornbury School,5,M,7,O,2,2,0,52,Contributing,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3040,Thorndon School,10,Z,10,Z,0,0,0,288,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
2028,Thornton School,5,M,7,O,2,2,0,100,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3557,Thorrington School,10,Z,10,Z,0,0,0,454,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
1535,Three Kings School,7,O,7,O,0,0,0,517,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1669,Tiaho Primary School,1,C,2,D,1,1,0,133,Contributing,State,Wairoa District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
14,Tikipunga High School,2,D,2,D,0,0,293,355,Secondary (Year 7-15),State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1113,Tikipunga Primary School,2,D,1,C,-1,-1,0,171,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
2703,Tikitiki School,1,A,1,A,0,0,0,13,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2704,Tikokino School,7,O,6,N,-1,-1,0,42,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2251,Tikorangi School,4,J,4,K,0,1,0,154,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
360,Timaru Boys' High School,7,O,7,O,0,0,632,632,Secondary (Year 9-15),State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
1611,Timaru Christian School,6,N,8,P,2,2,0,87,Full Primary,State: Integrated,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
361,Timaru Girls' High School,5,M,6,N,1,1,408,408,Secondary (Year 9-15),State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2115,Timaru South School,3,I,2,F,-1,-3,0,220,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
4146,Timatanga Community School,7,O,6,N,-1,-1,0,20,Full Primary,State: Integrated,Auckland- Upper Harbour,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
2705,Tiniroto School,5,M,7,O,2,2,0,14,Full Primary,State,Gisborne District,Gisborne Region,Napier,Napier,Ikaroa-Rawhiti
1114,Tinopai School,1,C,1,C,0,0,0,15,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3041,Tinui School,6,N,5,M,-1,-1,0,53,Full Primary,State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3561,Tinwald School,6,N,6,N,0,0,0,234,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2031,Tirau Primary School,5,M,4,L,-1,-1,0,95,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
1536,Tirimoana School,6,N,5,M,-1,-1,0,681,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
2467,Tiritea School,10,Z,10,Z,0,0,0,147,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2032,Tirohanga School,6,N,7,O,1,1,0,28,Full Primary,State,Taupo District,Waikato Region,Rotorua,Taupo,Te Tai Hauauru
2033,Tirohia School,3,G,3,H,0,1,0,59,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
4029,Tisbury School,4,K,4,J,0,-1,0,107,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3043,Titahi Bay Intermediate,2,F,4,J,2,4,0,143,Intermediate,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3044,Titahi Bay North School,2,E,3,I,1,4,0,112,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3045,Titahi Bay School,3,I,4,L,1,3,0,420,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1537,Titirangi School,10,Z,10,Z,0,0,0,492,Contributing,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
463,TKK Motuhake o Tawhiuau,1,A,1,A,0,0,50,122,Composite (Year 1-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1151,TKK o Te Puaha o Waikato,1,C,1,A,0,-2,0,33,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
1674,TKK o Te Wananga Whare Tapere o Takitimu,2,E,2,D,0,-1,0,57,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1696,TKKM o Bernard Fergusson,2,E,2,D,0,-1,0,138,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1773,TKKM o Harataunga,2,E,4,K,2,6,0,11,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
279,TKKM o Hoani Waititi,4,J,3,H,-1,-2,53,160,Composite (Year 1-15),State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Kelston,Te Tai Tokerau
1748,TKKM o Huiarau,1,C,1,B,0,-1,12,72,Composite (Year 1-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3103,TKKM o Hurungaterangi,1,C,1,C,0,0,0,77,Full Primary,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
4227,TKKM o Kaikohe,1,B,1,B,0,0,71,190,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3119,TKKM o Kawakawa mai Tawhiti,1,A,1,C,0,2,51,145,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
4209,TKKM o Manawatu,4,J,6,N,2,4,0,121,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
2600,TKKM o Mangatuna,1,C,1,A,0,-2,0,46,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
4208,TKKM o Mangere,2,D,1,B,-1,-2,43,193,Composite (Year 1-15),State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
4229,TKKM o Manurewa,1,B,1,B,0,0,0,65,Full Primary,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
4207,TKKM o Nga Maungarongo,3,H,4,J,1,2,0,86,Full Primary,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1143,TKKM o Nga Mokopuna,8,P,8,P,0,0,14,81,Composite (Year 1-15),State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
1672,TKKM o Nga Uri A Maui,1,C,3,G,2,4,25,143,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
600,TKKM o Ngaringaomatariki,4,J,3,I,-1,-1,0,22,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2445,TKKM o Ngati Kahungunu Ki Heretaunga,1,A,1,C,0,2,48,118,Composite (Year 1-15),State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1616,TKKM o Ngati Kahungunu o Te Wairoa,1,B,1,A,0,-1,22,80,Composite (Year 1-15),State,Wairoa District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1617,TKKM o Ngati Rangi,1,C,3,G,2,4,0,19,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2383,TKKM o Ngati Ruanui,1,C,2,D,1,1,0,47,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
4205,TKKM o Otara,1,C,1,B,0,-1,0,73,Full Primary,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
2351,TKKM o Otepoti,3,I,4,L,1,3,0,22,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1873,TKKM o Otepou,3,I,3,H,0,-1,0,80,Full Primary,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
3114,TKKM o Pukemiro,1,B,1,B,0,0,23,120,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
