Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014Step",2015 Decile,"2015 Step",Decile Change,Step Change,"July 2014 Funding rollYears 9+","July 2014 Funding rollTotal ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
1226,Belmont School (Auckland),10,Z,10,Z,0,0,0,375,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
2807,Belmont School (Lower Hutt),8,P,7,O,-1,-1,0,328,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
161,Benneydale School,1,C,2,D,1,1,0,20,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2808,Berhampore School,4,L,7,O,3,3,0,234,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
1695,Berkley Normal Middle School,9,Q,8,P,-1,-1,41,721,Restricted Composite (Year 7-10),State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
77,Bethlehem College,10,Z,9,Q,-1,-1,768,1487,Composite (Year 1-15),State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1697,Bethlehem School,8,P,8,P,0,0,0,485,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
607,Big Rock Primary School,5,M,8,P,3,3,0,80,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
2810,Birchville School,6,N,6,N,0,0,0,156,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3182,Birchwood School,7,O,7,O,0,0,0,245,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
1227,Birdwood School,1,C,2,D,1,1,0,209,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1228,Birkdale Intermediate,6,N,6,N,0,0,0,406,Intermediate,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1229,Birkdale North School,3,G,5,M,2,6,0,143,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1230,Birkdale Primary School,5,M,5,M,0,0,0,207,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
31,Birkenhead College,6,N,6,N,0,0,666,666,Secondary (Year 9-15),State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1231,Birkenhead School,10,Z,9,Q,-1,-1,0,380,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1607,Bishop Edward Gaines Catholic School,4,J,2,D,-2,-6,0,36,Full Primary,State: Integrated,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
256,Bishop Viard College,2,E,1,C,-1,-2,304,410,Secondary (Year 7-15),State: Integrated,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3293,Bishopdale School,2,E,3,G,1,2,0,136,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3295,Blaketown School,2,F,5,M,3,7,0,55,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2546,Bledisloe School,6,N,6,N,0,0,0,318,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2811,Blenheim School,3,H,4,J,1,2,0,47,Contributing,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
4156,Blind and Low Vision Education Network NZ,3,I,3,H,0,-1,19,37,Special School,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1232,Blockhouse Bay Intermediate,6,N,5,M,-1,-1,0,789,Intermediate,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1233,Blockhouse Bay School,8,P,7,O,-1,-1,0,594,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1007,Blomfield Special School and Resource Ctre,3,I,3,H,0,-1,55,87,Special School,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
391,Blue Mountain College,7,O,9,Q,2,2,143,228,Secondary (Year 7-15),State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2113,Bluestone School,5,M,5,M,0,0,0,574,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2120,Bluff School,2,F,3,I,1,3,0,139,Full Primary,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
2812,Bohally Intermediate,6,N,6,N,0,0,0,349,Intermediate,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
1234,Bombay School,9,Q,9,Q,0,0,0,364,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1235,Botany Downs School,10,Z,9,Q,-1,-1,0,485,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
6930,Botany Downs Secondary College,10,Z,9,Q,-1,-1,1696,1696,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
2813,Boulcott School,10,Z,7,O,-3,-3,0,340,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3716,Bradford School,4,K,5,M,1,2,0,99,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
2814,Brandon Intermediate,1,B,1,B,0,0,0,135,Intermediate,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
20,Bream Bay College,4,L,5,M,1,1,303,448,Secondary (Year 7-15),State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
3299,Breens Intermediate,6,N,7,O,1,1,0,258,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2547,Bridge Pa School,2,D,2,D,0,0,0,58,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3183,Brightwater School,9,Q,9,Q,0,0,0,285,Contributing,State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
3718,Broad Bay School,9,Q,9,Q,0,0,0,48,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
3301,Broadfield School,10,Z,9,Q,-1,-1,0,129,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3184,Broadgreen Intermediate,6,N,6,N,0,0,0,416,Intermediate,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
1698,Broadlands School,9,Q,8,P,-1,-1,0,100,Contributing,State,Rotorua District,Waikato Region,Rotorua,Rotorua,Waiariki
6,Broadwood Area School,1,B,1,C,0,1,79,119,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
