family,stem
B,196
D,216
C,192
D,142
A,181
B,179
C,185
C,206
B,191
D,196
B,217
C,183
A,196
D,187
A,186
B,160
S,174
N,181
D,196
H,176
W,203
X,203
M,182
Y,193
Q,177
R,173
L,187
J,175
E,197
A,189
B,156
V,183
K,204
G,191
I,194
T,184
O,177
P,170
U,179
F,169
A,161
C,104
D,213
C,190
A,229
B,200
A,165
D,184
B,142
D,210
A,188
B,189
C,214
D,165
C,222
A,158
D,177
B,189
C,154
A,147
D,198
C,156
C,202
A,155
B,210
A,177
C,175
D,189
B,166
C,200
C,167
D,186
B,215
A,176
A,174
B,192
C,162
B,197
C,200
D,195
A,208
C,169
B,194
A,184
D,202
D,204
B,190
C,212
A,210
C,170
A,170
C,155
B,177
D,168
B,175
A,184
C,175
D,182
A,187
C,199
B,149
D,185
U,174
C,216
M,175
B,187
S,183
R,192
X,161
P,181
G,190
L,203
D,189
T,192
H,186
W,210
A,207
Y,167
N,180
I,163
Z,178
Q,198
K,183
E,158
V,175
F,198
O,165
D,178
B,202
C,176
A,204
B,219
D,195
C,221
A,197
D,153
C,167
D,193
B,218
C,169
B,229
C,145
D,230
A,188
C,180
D,178
B,220
A,221
A,176
D,201
A,192
B,196
C,187
D,198
C,180
D,196
B,247
A,193
C,174
D,186
C,145
A,206
B,151
C,180
A,232
B,193
A,160
B,173
D,198
A,159
B,156
D,181
C,151
A,203
C,179
D,191
B,204
B,215
A,189
D,171
C,178
A,156
C,206
B,196
D,175
A,208
C,178
D,202
R,194
F,211
Z,186
N,180
Q,216
Y,192
K,176
W,198
C,184
V,190
H,163
O,169
B,194
L,187
P,173
D,181
A,203
I,184
T,180
X,206
G,191
E,195
S,138
J,203
D,150
A,180
B,175
C,152
B,181
D,159
A,155
C,190
A,166
D,196
C,197
B,188
D,241
B,188
A,186
C,171
C,216
D,189
A,167
B,247
A,221
C,114
A,146
D,158
C,153
A,190
C,196
C,227
C,179
B,192
D,170
D,214
B,182
A,188
C,206
D,185
C,145
B,187
C,170
D,180
B,198
A,163
A,180
B,207
D,165
C,192
D,145
B,187
C,132
D,220
B,174
A,177
C,156
C,199
D,189
B,158
D,170
B,179
A,183
C,210
A,185
D,191
B,228
C,132
R,163
P,210
H,245
O,183
Z,212
Q,184
V,200
G,200
N,189
T,211
K,182
U,172
Y,177
S,183
F,176
M,167
W,176
B,210
C,199
C,199
J,196
X,199
I,192
A,215
D,156
A,169
B,165
C,195
B,203
A,195
D,169
C,160
C,161
D,204
A,198
C,184
D,185
A,194
C,163
D,210
B,217
C,171
A,178
A,223
B,203
C,200
D,196
C,220
A,225
C,181
B,173
A,192
A,189
D,191
C,171
C,185
D,155
C,188
B,165
D,190
A,173
C,223
B,228
D,220
B,194
A,179
C,191
D,184
B,200
A,182
C,120
D,205
B,180
D,125
A,200
C,155
A,203
D,199
C,188
B,198
B,209
A,210
D,168
C,213
D,200
A,174
B,189
C,192
D,131
A,191
C,205
B,165
O,172
A,164
N,185
C,210
Z,194
L,208
P,205
B,177
T,193
U,187
K,197
S,222
Q,206
H,199
R,174
D,197
I,158
Y,200
J,186
M,168
W,190
G,186
F,154
X,204
E,156
D,225
A,199
C,232
B,206
B,178
A,182
D,200
D,231
C,152
A,186
C,176
D,187
B,202
A,182
B,167
D,175
C,179
D,195
A,169
C,185
B,186
A,170
C,210
D,210
A,215
B,189
C,196
A,207
D,256
A,160
C,155
